"# of Uses","# của những lần sử dụng"
"%s tag(s) have been accepted for moderation.","%s tag(s) đã lưu."
"<strong>Tag Name:</strong> %s","<strong>Tag Name:</strong> %s"
"Action","Thực hiện"
"Add","Thêm"
"Add New Tag","Thêm Tag mới"
"Add Tags","Thêm Tags"
"Add Your Tags:","Thêm Tags:"
"Add tag(s) to product","Thêm tag(s) cho sản phẩm"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Wishlist","Thêm vào danh sách yêu thích"
"All Tags","Toàn bộ tag"
"Approved","Được chấp thuận"
"Are you sure you want to delete this tag?","Bạn muốn xóa tag này?"
"Are you sure you want to do this?","Bạn muốn thực hiện bước này?"
"Are you sure?","Bạn có chắc chắn?"
"Back","Quay lại"
"Back to Tags List","Quay lại danh sách tag"
"Base Popularity","Dựa trên tính phổ biến"
"Block Information","Khóa thông tin"
"CSV","CSV"
"Catalog Product View","Lượt xem danh mục sản phẩm"
"Change status","Thay đổi trạng thái"
"Click on a tag to view your corresponding products.","Click vào tag để xem sản phẩm tương ứng."
"Country","Quốc gia"
"Customer My Account My Tags List","Khách hàng Tài khoản Tags Danh sách"
"Customer My Account Tag View","Khách hàng Tài khoản Tag Xem"
"Customer Since","Customer Since"
"Customers","Khách hàng"
"Customers Submitted this Tag","Khách hàng đã đăng Tag này"
"Customers Tagged '%s'","Khách hàng đã  '%s'"
"Delete","Xóa"
"Delete Tag","Xóa Tag"
"Disabled","Disabled"
"Edit Tag '%s'","Chỉnh sửa Tag '%s'"
"Email","Email"
"First Name","Tên"
"General Information","Thông tin tổng quan"
"Grid","Grid"
"ID","ID"
"Info","Thông tin"
"Last Name","Họ"
"List","Danh sách"
"Manage Tags","Quản lý Tags"
"My Recent Tags","Những Tag gần đây của tôi"
"My Tags","Tag của tôi"
"Name","Tên"
"New Tag","Tag mới"
"No matches found.","Không có kết quả ứng với từ khóa tìm kiếm."
"Other people marked this product with these tags:","Những khách hàng khác đánh dấu sản phẩm này với các từ khóa sau :"
"Pending","Đang chờ"
"Pending Tags","Tag đang chờ"
"Popular","Phổ biến"
"Popular Tags","Tag phổ biến"
"Price","Giá"
"Product Name","Tên sản phẩm"
"Product SKU","Mã sản phẩm"
"Product Tag API","Tag API sản phẩm"
"Product Tags","Tag sản phẩm"
"Products","Sản phẩm"
"Products Tagged by Administrators","Sản phẩm được gắn thẻ bởi quản trị viên"
"Products Tagged by Customers","Sản phẩm được gắn thẻ bởi khách hàng"
"Products Tagged with '%s'","Sản phẩm được gắn thẻ với '%s'"
"Products tagged with '%s'","Sản phẩm được gắn thẻ với '%s'"
"Rebuild Tag aggregation data","Xây dựng lại dữ liệu tổng hợp từ khóa"
"Remove","Hủy bỏ"
"Remove product tag","Hủy bỏ tag sản phẩm"
"Retrieve list of tags by product","Khôi phục danh sách các từ khóa theo sản phẩm"
"Retrieve product tag info","Khôi phục thông tin các từ khóa sản phẩm"
"SKU","SKU"
"Save Tag","Lưu Tag"
"Save and Continue Edit","Lưu lại và tiếp tục chỉnh sửa"
"Status","Trạng thái"
"Store View","Xem "
"Tag","Tag"
"Tag ""%s"" has already been added to the product.","Tag ""%s"" đã được gắn vào sản phẩm."
"Tag ""%s"" has been added to the product.","Tag ""%s"" đã được gắn vào sản phẩm."
"Tag ""%s"" has been rejected by administrator.","Quản trị viên không chấp nhận Tag ""%s""."
"Tag Aggregation Data","Dữ liệu tập hợp tag"
"Tag Name","Tên Tag"
"Tagged Products List","Danh sách sản phẩm đã được gắn thẻ"
"Tags","Tags"
"Tags List (All Available)","Danh sách tag (Có sẵn)"
"Tags List Before","Danh sách tag trước đó"
"Tags:","Tags:"
"Telephone","Điện thoại"
"The tag has been deleted.","Từ khóa này đã bị xóa."
"There are no tags available.","Hiện không có từ khóa nào."
"Unable to find any products tagged with '%s' in the current store","Hiện cửa hàng không có sản phẩm nào được gắn thẻ '%s'"
"Unable to remove tag. Please, try again later.","Không thể hủy bỏ tag này. Vui lòng thử lại sau."
"Unable to save tag(s).","Không thể lưu tag này(s)."
"Update","Cập nhật"
"Update product tag","Cập nhật tag sản phẩm"
"Use spaces to separate tags. Use single quotes (') for phrases.","Sử dụng khoảng trắng để phân cách trong tag. Sử dụng dấu nháy đơn (') đối với đoạn văn."
"View All Tags","Xem tất cả các tag"
"View Customers","Xem khách hàng"
"View Products","Xem sản phẩm"
"XML","XML"
"You have not tagged any products yet.","Bạn chưa gắn thẻ sản phẩm nào."
"ZIP/Post Code","ZIP/Mã bưu điện"
"[STORE VIEW]","[STORE VIEW]"
