"Created","Đã tạo"
"Imported","Đã xử lý"
"Deleted","Đã hủy"
"Created By","Người tạo"
"Created At","Ngày tạo"
"Status","Trạng thái"
"Description","Mô tả"
"Requested Store","Kho xuất"
"Code","Mã"
"Supplier Name","Nhà cung cấp"
"User","Người tạo"
"Create Purchase","Tạo yêu cầu mua hàng"
"Manage Purchase","Danh sách yêu cầu mua hàng"
"Create Stock Transfer","Tạo yêu cầu chuyển kho"
"Manage Stock Transfer","Danh sách yêu cầu chuyển kho"
"Purchase","Đặt hàng"
"Over due payment order","Danh sách quá hạn thanh toán"
"Manage Received Payment","Danh sách chuyển tiền"
"Upload status", "Cập nhật trạng thái"
"Crosscheck","Đối soát"
"Import Shipment Status from Excel file","Cập nhật trạng thái đơn hàng"
