"Supplier", "Nhà cung cấp"
"Supplier Code", "Mã nhà cung cấp"
"Supplier Name", "Tên nhà cung cấp"
"Mobile", "Số điện thoại"
"Contact Name", "Người liên hệ"
"Province", "Tỉnh/Tp"
"District", "Quận/Huyện"
"Note", "Ghi chú"
"Supplier information", "Thông tin nhà cung cấp"
"Manager Supplier", "Quản lý nhà cung cấp"
"Supplier Manager", "Quản lý nhà cung cấp"
"Supplier Description", "Chi tiết nhà cung cấp"
"Add New Supplier", "Thêm mới nhà cung cấp"
"Save And Continue Edit", "Lưu lại và sửa tiếp"
"Save", "Lưu lại"
"Delete", "Xóa"
"Edit Supplier", "Sửa nhà cung cấp"
"New Supplier", "Thêm mới nhà cung cấp"
"Add Supplier", "Thêm mới nhà cung cấp"
"Edit Supplier '%s'", "Sửa nhà cung cấp '%s'"
"Supplier does not exist.", "Nhà cung cấp không tồn tại."
"Supplier was successfully saved", "Thông tin nhà cung cấp được lưu thành công"
"Supplier was successfully deleted", "Thông tin nhà cung cấp được xóa thành công"
"Supplier(s) was successfully removed", "Thông tin nhà cung cấp được xóa thành công"
"Supplier with the same name '%s' already exists", "Đã tồn tại nhà cung cấp với tên '%s'"
"Created On", "Ngày tạo"
"Updated On", "Ngày sửa"
